LEVEL,GMT,時間,C,,,,,,,GST
0,,1,Level 1,1 時間,1 GST,,GST,$1.18,,1
1,,2,Level 2,2 時間,2 GST,,GMT,$1.19,,2
2,,3,Level 3,3 時間,3 GST,,,,,3
3,,4,Level 4,4 時間,4 GST,,,,,4
4,10,5,Level 5,5 時間,10 GST,,,,,10
5,,6,Level 6,6 時間,6 GST,,,,,6
6,,7,Level 7,7 時間,7 GST,,,,,7
7,,8,Level 8,8 時間,8 GST,,,,,8
8,,9,Level 9,9 時間,9 GST,,,,,9
9,30,10,Level 10,10 時間,30 GST,,,,,30
10,,11,Level 11,11 時間,11 GST,,,,,11
11,,12,Level 12,12 時間,12 GST,,,,,12
12,,13,Level 13,13 時間,13 GST,,,,,13
13,,14,Level 14,14 時間,14 GST,,,,,14
14,,15,Level 15,15 時間,15 GST,,,,,15
15,,16,Level 16,16 時間,16 GST,,,,,16
16,,17,Level 17,17 時間,17 GST,,,,,17
17,,18,Level 18,18 時間,18 GST,,,,,18
18,,19,Level 19,19 時間,19 GST,,,,,19
19,60,20,Level 20,20 時間,80 GST,,,,,60
20,,21,Level 21,21 時間,21 GST,,,,,21
21,,22,Level 22,22 時間,22 GST,,,,,22
22,,23,Level 23,23 時間,23 GST,,,,,23
23,,24,Level 24,24 時間,24 GST,,,,,24
24,,25,Level 25,25 時間,25 GST,,,,,25
25,,26,Level 26,26 時間,26 GST,,,,,26
26,,27,Level 27,27 時間,27 GST,,,,,27
27,,28,Level 28,28 時間,28 GST+GMT,,,,,28
28,29,29,Level 29,29 時間,29 GST+GMT,,,,,29
29,100,30,Level 30,30 時間,30 GST+GMT,,,,,100
30,,,,,,,,,,